Index,Height,Weight
1,62.26,211.87
2,74.58,178.92
3,68.95,139.2
4,78.62,110.9
5,55.42,118.76
6,76.65,131.67
7,70.0,146.23
8,69.03,153.92
9,66.35,135.93
10,64.34,164.39
11,78.96,202.75
12,56.37,92.36
13,79.62,100.59
14,69.84,105.36
15,77.81,103.13
16,60.46,190.09
17,65.43,162.35
18,59.99,203.02
19,66.13,198.64
20,74.63,207.38
21,61.29,118.67
22,56.51,106.15
23,56.59,152.94
24,75.84,211.19
25,60.93,100.19
26,58.09,127.64
27,63.62,135.84
28,79.04,108.48
29,55.29,194.88
30,65.18,166.15
31,76.12,115.11
32,78.09,205.5
33,61.95,140.73
34,55.06,184.88
35,59.85,147.97
36,77.81,103.16
37,76.26,209.74
38,65.82,115.92
39,67.4,143.08
40,55.6,140.29
41,72.31,170.34
42,73.74,196.7
43,78.34,205.48
44,58.58,219.44
45,77.75,97.95
46,66.09,174.03
47,72.56,95.6
48,73.46,150.0
49,72.5,112.32
50,60.14,116.17
51,57.82,135.37
52,75.74,127.21
53,65.27,139.71
54,79.96,150.14
55,71.22,130.72
56,67.8,117.44
57,79.29,215.89
58,62.15,158.82
59,74.46,183.75
60,58.66,145.04
61,75.46,218.63
62,58.23,204.26
63,69.11,205.22
64,74.13,149.28
65,69.18,158.66
66,61.63,193.49
67,56.35,191.46
68,75.03,174.81
69,59.87,149.84
70,73.81,150.69
71,66.24,114.53
72,61.99,174.54
73,73.94,106.78
74,68.23,152.26
75,70.77,112.25
76,71.79,191.88
77,61.2,211.58
78,62.83,133.12
79,59.41,106.45
80,61.42,182.18
81,72.28,216.27
82,71.81,185.29
83,72.57,147.24
84,75.84,218.21
85,73.31,176.91
86,78.67,100.48
87,61.67,207.11
88,66.35,211.81
89,66.47,186.68
90,73.71,132.74
91,70.22,154.35
92,77.02,128.51
93,55.24,143.39
94,73.11,135.54
95,58.71,126.55
96,70.75,129.98
97,57.49,141.06
98,67.6,103.54
99,59.38,183.41
100,75.83,191.93
101,60.28,119.87
102,79.63,129.06
103,65.05,174.82
104,57.4,136.15
105,57.28,189.64
106,67.26,188.03
107,60.23,186.02
108,63.24,101.29
109,68.36,182.12
110,69.22,146.15
111,69.24,124.82
112,58.84,178.97
113,55.49,114.0
114,56.99,180.22
115,61.44,169.1
116,60.43,101.28
117,70.96,170.88
118,69.54,175.0
119,62.38,185.09
120,59.65,144.18
121,68.1,191.52
122,69.4,119.56
123,71.88,95.2
124,67.72,172.1
125,69.95,152.3
126,67.76,120.67
